Company Name,Logo URL,Website URL,Type,Booth,Country,Company Industry,Sector(s),Region(s),Funding Stage,Business type,Founding Year,Number of Employees,LinkedIn,Instagram,Description
AhP-Tech Inc.,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/7c7af2df603f412ab0a66f49a2739138.png.webp?VersionId=zpJZM8NCx_mzBf3k28e9pZ7_yqlUtVYD&amp;itok=pN4O5U-q,https://www.ahptech.com.tw/en/index.html,Exhibitor,H3.C190,TW,"Technology, Software and IT Services","AI & Deep Tech; Technology & Telecommunications; Cybersecurity, Aerospace & Defense",Asia; Europe; North America; UK and Ireland; Middle East,N/A,B2B,2019,21-50,ahp-tech-inc,ahp.tech,"""AhP-Tech Inc."" is an incorporation established by the founder as the Chairman and CTO of the company, Shi, Zhan-Ah (Mr. Chen, Chao-Huang) in Taiwan. AhP-Tech is not only devoted to the future technology of Quantum Computing, Cyber Security, and Artificial Intelligence, but also developing kinds of PaaS (Platform as a Service) for Cyber Security and Artificial Intelligence with Quantum Computing. Our research for technology applications also extends to software engineering in technology domains comprising AI model integration/next-generation optical communications/edge computing for massive data, and so on. Recently, besides completing achievements including quantum-resistance/post-quantum related information/communication security technologies and an integrated architecture for quantum computing platform, we keep supporting R&D resources in cutting-edge technologies comprising photonic entropy sources and implementations of a generic Hamiltonian analysis suite.As a leading PaaS provider, AhP-Tech develops AQCCP (AhP-Tech's quantum computing cloud platform) platform which integrates with PQC standards validated by NIST (FIPS 203 and FIPS 204 full-parameters configuration), a plurality of photon-based quantum entropy sources, and our proprietary US patents in the domain of quantum computing. Meanwhile, this platform adopts the key Encapsulation Mechanism based on the secure guidelines following NIST SP 800-227, and comprises security modules designed for FIPS 140-3 Level 4 as well. A PaaS is implemented through API services provided by AQCCP, and it offers API subscription services operated in cloud for global enterprises. In this way, we can integrate transnational emerging computing devices into our back-end, and we are capable of providing customized API services for specific use cases required from global enterprises, especially for the requirement of ""Quantum Migration"" or ""Cyber Resilience Act"" of EU. Sooner than expected, the next-gen AQCCP platform integrated with Quantum Firewall, Quantum Random Number Generator (QRNG), and Advanced Document Security Analyzer, will provide efficient services to global enterprises through an API subscription in form of PaaS.AhP-Tech Inc. official website Contact us Business service : sales@ahptech.com.twHelp desk : info@ahptech.com.tw"
Ai Geo Navigators,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://aigeo360.com,,,,,,,,,,,ai-geo-navigators,,AI Geo Navigators is a climate-intelligence and geospatial firm specializing in converting climate and environmental data into actionable insights by ...About Us · Our Work · Insights · Products
"AI Pass Line Co., Ltd.",,https://pass.co.uk,Exhibitor,H3.C190,,,,,,,,,aipass-space,kenexai,"Feb 5, 2025 ... ... pass” to jump ahead in the knowledge line. Not as ... The Schwab Center for Financial Research is a division of Charles Schwab & Co., Inc."
Ai Team Force (PVT),https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/30eeabdfd270467587ec2f8e341d7674.jpeg.webp?VersionId=K8LwrVDTgZ4o70vWw84LVFubskvunQIh&amp;itok=yun9Vwna,https://aiteamforce.com,Exhibitor,H3.E108,Pakistan,"Technology, Software and IT Services",,Europe; MENA; North America; Middle East,No Funding Yet/Bootstrapped,B2B; B2C,2025,6-10,105811713,aiteamforce,"AI Team Force is an AI automation and intelligent workforce company helping businesses turn artificial intelligence into measurable revenue, efficiency, and scale.We design and deploy AI-powered digital employees that can communicate, sell, support, qualify leads, book appointments, automate workflows, and operate across multiple channels — 24/7. Our solutions combine Generative AI, voice intelligence, conversational AI, workflow automation, and custom AI development** to solve real business problems rather than simply demonstrate technology.From multilingual AI Sales Development Representatives and AI Voice Agents to custom enterprise automation and AI-integrated platforms, AI Team Force helps organizations reduce repetitive work, accelerate customer response, improve conversion rates, and scale operations without proportionally increasing headcount.Our approach is built around one principle: **AI should not just assist your team — it should become part of your team.**At LEAP, we are looking to connect with enterprises, technology partners, investors, government organizations, and regional businesses seeking to deploy practical AI solutions across the **Saudi Arabian and GCC markets**.AI Team Force — Build your next workforce with AI."
AiElements,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/171d9dc1770442a9bf11f520380d7769.png.webp?VersionId=oo6SiB7k.c8VZEmM0c9bD.arYtIgqf71&amp;itok=OT3--lZB,www.aielements.com.sa,Exhibitor,H5.I30,Saudi Arabia,"Consulting and Advisory; Technology, Software and IT Services",AI & Deep Tech; Technology & Telecommunications,MENA; Middle East,,B2B; B2G,2020,51-99,aielements,aielements,"We Are AiElements! Providing you with the most reliable AI solutions. At AiElements, we seek to tackle the most pressing issue in any industry: Automation, intelligently! The fulcrum of AI today is data and general analytical activities, such as detecting patterns in data, that have been handled by software for many years that delivers much better, more optimized and efficient AI performance. Therefore, in order to make life improving changes, we need that data. AiElements delivers the most practical data-driven applications in the market. And we intend to make this available to as many beneficiaries as possible."
AIFA Technology Corp,,https://aifaventures.com,Exhibitor,H5.F50,,,,,,,,,aifatechnologycorp,aifa_technology_corp,AIFA Technology Corp.
Aikido Security,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://aikido.dev,,,,,,,,,,,aikido-security,aikidosecurity,"Aikido Security BV is a cybersecurity company based in Ghent, Belgium and founded in 2022. The company develops application security software."
Ailytics,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/54d46c4abfbe4fe785e15dc68ff4d70d.png.webp?VersionId=c_VSs8RUcD4V41ZoPxtUD2Ik3lAUYXbQ&amp;itok=ivq0biCP,https://ailytics.ai,,,,,,,,,,,ailytics,shanbaj0786,"Analytics is the systematic computational analysis of data or statistics. It is used for the discovery, interpretation, and communication of meaningful patterns in data, which also falls under and directly relates to the umbrella term, data science. Analytics also entails applying data patterns toward effective decision-making. It can be valuable in areas rich with recorded information; analytics relies on the simultaneous application of statistics, computer programming, and operations research"
AIM Digital Company,,https://aimdigitalagency.com,,,,,,,,,,,aimdigitalco,aimdigitalofficials,"Full Service Digital Agency in Dubai to Enhance Prosperity, Growth and Lead Generation. You can't swing a cat by the tail without hitting a digital agency that over promise Service Categories, Content Marketing, SEO Optimization, Social Media Marketing and more"
AiPathos,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/f76e621dbd7840a58d8500f86abb8fdb.png.webp?VersionId=RK2zQ9UZR_t5juqMIUbxsOQ_r__Huqlq&amp;itok=Ujv3fn2u,https://www.pathos.com,,,,,,,,,,,aipathos,pathos_ai,"Apatosaurus (; meaning ""deceptive lizard"") is a genus of herbivorous sauropod dinosaur that lived in North America during the Late Jurassic period. Othniel Charles Marsh described and named the first-known species, Apatosaurus ajax, in 1877, and a second species, Apatosaurus louisae, was discovered and named by William H. Holland in 1916. Apatosaurus lived about 152 to 151 million years ago (mya), during the late Kimmeridgian to early Tithonian age, and are now known from fossils in the Morrison"
AISC - أيسك,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/a40122bce73c4f8f9aa621b9d3012584.png.webp?VersionId=mmKLZstaff614ZzqxBzgg7tjJ0RliB4a&amp;itok=b8IU57Rb,https://aisc.com.vn,,,,,,,,,,,aisc-ksa,aisc,"AISC is a startup specializing in construction technology, offering innovative solutions powered by AI and augmented reality to improve project management, enable teams to understand complex data, enhance oversight, and boost execution efficiency across all project phases."
AiSPRY,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/3ea1a29ec59742f8b983660b86f6273a.jpeg.webp?VersionId=sQH6DMuauy6XMhrNuAIdDaZOhzFAksk9&amp;itok=Av0HD454,https://aispry.ai/,Exhibitor,H3.E166,India,"Technology, Software and IT Services",,Africa; MENA,,B2G,,100-250,aispry,,"AiSPRY stands as a pioneering service provider, specializing in crafting advanced AI solutions. Our central objective revolves around empowering businesses and organizations by strategically harnessing the potential of artificial intelligence. We deliver a comprehensive suite of services meticulously tailored to the specific requirements of each client. Our portfolio encompasses AI strategy and consultancy, wherein we collaborate closely with clients to delineate precise AI roadmaps aligned with their objectives. We excel in crafting bespoke AI solutions, leveraging state-of-the-art technologies such as machine learning, natural language processing, and computer vision. At AiSPRY, we uphold a steadfast commitment to data excellence, guiding clients through data collection, cleansing, and analysis processes to establish a robust foundation for efficient AI model training. Our specialization lies in the seamless deployment and integration of models into existing systems, thereby magnifying the impact of AI on day-to-day operations. Furthermore, our ongoing maintenance and support services ensure the optimal performance of AI systems, adeptly adapting to evolving requirements. We also extend education and training initiatives to empower organizations with profound AI insights. AiSPRY remains dedicated to fostering AI innovation, consistently leading the charge in technological advancements to deliver transformative solutions for our esteemed clients. Functioning as a distinguished AI services provider, our expertise spans both Generative AI and Traditional AI solutions, with a particular focus on the Manufacturing and Life Sciences Healthcare sectors. Our unwavering commitment lies in furnishing cutting-edge solutions that propel our clients towards unparalleled success."
AiTech – USA,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/d9923620bd6743649786bf831ab85514.png.webp?VersionId=Doxv9yekThQwEje0DI68.Y05od84k5ln&amp;itok=1jqi2V6J,https://aitech-usa.com,,,,,,,,,,,,,"Human sacrifice was a common practice in many parts of Mesoamerica. The rite was not new to the Aztecs when they arrived at the Valley of Mexico, nor was it something unique to pre-Columbian Mexico. Other Mesoamerican cultures, such as the Purépechas and Toltecs, and the Maya performed sacrifices as well, and from archaeological evidence, it probably existed since the time of the Olmecs (1200–400 BC), and perhaps even throughout the early farming cultures of the region. However, the extent of hu"
aixplain,,https://www.aixplain.com,Exhibitor,H3.G190,,,,,,,,,,,"An airplane (American English), or aeroplane (Commonwealth English), also plane, is a fixed-wing aircraft that is propelled forward by thrust from a jet engine, propeller, or rocket engine. Airplanes come in a variety of sizes, shapes, and wing configurations. The broad spectrum of uses for airplanes includes recreation, transportation of goods and people, military, and research.Worldwide, commercial aviation transports more than four billion passengers annually on airliners and transports more"
Ajalty Auto Parts Trading,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/c9d2c062e326418c83cd0af1d61a8f81.png.webp?VersionId=6uGBRPEBf0915KxoMCzRxPkTUra2q3B2&amp;itok=L_3VLNZ9,https://www.ajalty.com,,,,,,,,,,,ajalty-auto-parts-trading-llc,ajalty_uae,Ajalty Auto Parts Trading LLC is an automotive spare parts trading company based in the United Arab Emirates. The company operates and manages digital platforms that provide access to genuine and aftermarket automotive spare parts through a network of verified suppliers and industry partners.
Ajarlee,,https://www.ajarlee.om,Exhibitor,H1A.F50,,,,,,,,,ajarlee,ajarlee.om,"April Jeanette Mendez (born March 19, 1987) is an American professional wrestler and author. As a wrestler, she has been signed to WWE since September 2025, where she performs under the ring name AJ Lee.Mendez began her professional wrestling career in 2007 in New Jersey's independent circuit. She signed with WWE in 2009 and spent two years in its developmental branch, Florida Championship Wrestling, before her promotion to the main roster. In 2012, she rose to prominence through storylines with"
Akila 3D,https://file.onegiantleap.com/files/styles/webp/public/swapcardmigration/exhibitors/ee9a3d53e9e64fe3890ed500b990479d.png.webp?VersionId=GCJReFrN97JBfv3rX_4FDFRoO6ItlZHx&amp;itok=_GGN9iQy,https://www.akila3d.com/,Exhibitor,H1.L40,France,"Technology, Software and IT Services",,Africa; Asia; Europe; MENA; North America; Oceania; UK and Ireland; Middle East,Series A,B2B,2021,51-99,akila3d,reel,"Akila is the spatial intelligence infrastructure for the built world. It's Physical AI & Operational Digital Twin for Real Estate, Preferred Partner in the NVIDIA ecosystemAkila creates and maintains the sovereign, AI-ready model of your built world: a living spatial model connecting spaces, assets, systems, documents, obligations, observations and operations — so people and AI can understand what exists, what is happening, and what should happen next.Acting on the built world takes full context, and nobody has it. The BMS, the ERP, the CMMS, the drawings: each authoritative for its slice, none readable outside the team that runs it. Space is the join key the built world already has — every operational fact happens somewhere, so facts that share a place connect without integration work.Ask an operational question, get an evidence-backed answer nobody had to prepare in advance, then act on it with an action that survives an audit. Every answer shows its work. Every product in operational AI promises autonomy; ask to see the audit trail.Any source: IoT, BMS, SCADA, BIM, GIS, enterprise systems, documents, video — indexed and read in place, addressed through SPOKE, Akila's ontology. Fast to value: start with the records you already hold. No hardware. Days, not months. Sovereign by design: cloud, on-premises or sovereign. The model, the data and the trained intelligence remain the owner's.Akila is part of Aden Group (www.adengroup.com), which operates buildings, energy systems and infrastructure in more than 25 countries — 30 years of running physical assets. A Preferred Partner in the NVIDIA Partner Network (Omniverse, Metropolis, Isaac), working alongside Cisco and EY, across the US, Western Europe, the GCC, ASEAN, China and Australia.Know your assets. Understand operations. Anticipate what comes next."
